User_ID,name,Phone,Address,
22944,Sherrod Brown,(212)-576-2637,Wonder Dean Limited,
50127,Maria Cantwell,(212)-457-3278,155 East Barnet Road,
20141,Ben Cardin,(212)-328-9842,DURKAN HOUSE,
30174,Tom Carper,(212)-988-2345,BARNET FIRE STATION,
41070,"Bob Casey, Jr.",(212) 798-3245,Station Road,
36003,Russ (kent),(212) 361-8000,"2707 WESTINGHOUSE ROAD HORSEHEADS, NY 14845 (42.164895632000025, -76.84009658299993)",
36006,A Traveler,(212) 361-8000,"6550 BAPTIST WAY EAST SYRACUSE, NY 13057 (43.089358953000044, -76.08798524199995)",
36008,Maud,(212) 607-5236,"8 HILL DRIVE LAKE GEORGE, NY 12845 (43.438180816000056, -73.70553698599997)",
36022,Julie,(212) 361-7914,"ROUTE 55 LAGRANGE, NY 12540 (41.67130402300006, -73.79721050999996)",
36051,SURESH SHAH,(212)546-6895,"3 EXECUTIVE BOULEVARD SUFFERN, NY 10901 (41.11886075000007, -74.11628498299996)",
53640,AUBREY BARONE,(212) 361-7900,"33 Beaver Street, 17th Floor New York, NY 10004",
95431,COLLEEN,,,
35630,MICHAEL FAUST,,,
67321,"ROBERT WILSON,",,,
75628,Tiger Heartbeats,,,
26504,HORSEHEADS,,,
46650,DEWITT,,,
35189,LAKE GEORGE,,,
27437,LAGRANGE,,,
61685,RAMAPO,,,
14845,KNIGHTS ,,,
13057,Candlewood,,,
12845,George,,,
12540,pathaway,,,
10901,CROWNE,,,
70591,Siient,,,
38298,WHY,,,
60749,Qun Ming,,,
70266,Like Pet,,,
50628,Shelly,,,
